,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt
169,170,6/19/2011,2,0,6,0,0,0,2,0.699167,0.666667,0.102,1639,3105,4744
170,171,6/20/2011,2,0,6,0,1,1,2,0.635,0.74625,0.155475,699,3311,4010
171,172,6/21/2011,3,0,6,0,2,1,2,0.680833,0.770417,0.171025,774,4061,4835
172,173,6/22/2011,3,0,6,0,3,1,1,0.733333,0.7075,0.172262,661,3846,4507
173,174,6/23/2011,3,0,6,0,4,1,2,0.728333,0.703333,0.238804,746,4044,4790
174,175,6/24/2011,3,0,6,0,5,1,1,0.724167,0.573333,0.222025,969,4022,4991
175,176,6/25/2011,3,0,6,0,6,0,1,0.695,0.483333,0.209571,1782,3420,5202
176,177,6/26/2011,3,0,6,0,0,0,1,0.68,0.513333,0.09453330000000001,1920,3385,5305
177,178,6/27/2011,3,0,6,0,1,1,2,0.6825,0.658333,0.10758800000000002,854,3854,4708
178,179,6/28/2011,3,0,6,0,2,1,1,0.744167,0.634167,0.144283,732,3916,4648
179,180,6/29/2011,3,0,6,0,3,1,1,0.728333,0.497917,0.261821,848,4377,5225
180,181,6/30/2011,3,0,6,0,4,1,1,0.696667,0.434167,0.18531199999999998,1027,4488,5515
181,182,7/1/2011,3,0,7,0,5,1,1,0.7225,0.39625,0.10260799999999999,1246,4116,5362
182,183,7/2/2011,3,0,7,0,6,0,1,0.738333,0.444583,0.11506199999999998,2204,2915,5119
183,184,7/3/2011,3,0,7,0,0,0,2,0.716667,0.6825,0.228858,2282,2367,4649
184,185,7/4/2011,3,0,7,1,1,0,2,0.726667,0.637917,0.08147919999999999,3065,2978,6043
185,186,7/5/2011,3,0,7,0,2,1,1,0.746667,0.590417,0.12625799999999998,1031,3634,4665
186,187,7/6/2011,3,0,7,0,3,1,1,0.72,0.743333,0.149883,784,3845,4629
187,188,7/7/2011,3,0,7,0,4,1,1,0.75,0.65125,0.1592,754,3838,4592
188,189,7/8/2011,3,0,7,0,5,1,2,0.709167,0.757917,0.225129,692,3348,4040
189,190,7/9/2011,3,0,7,0,6,0,1,0.733333,0.609167,0.16791199999999998,1988,3348,5336
190,191,7/10/2011,3,0,7,0,0,0,1,0.7475,0.578333,0.183471,1743,3138,4881
191,192,7/11/2011,3,0,7,0,1,1,1,0.7625,0.635833,0.282337,723,3363,4086
192,193,7/12/2011,3,0,7,0,2,1,1,0.794167,0.559167,0.200254,662,3596,4258
193,194,7/13/2011,3,0,7,0,3,1,1,0.746667,0.631667,0.14613299999999999,748,3594,4342
194,195,7/14/2011,3,0,7,0,4,1,1,0.680833,0.47625,0.24066700000000002,888,4196,5084
195,196,7/15/2011,3,0,7,0,5,1,1,0.663333,0.59125,0.182833,1318,4220,5538
196,197,7/16/2011,3,0,7,0,6,0,1,0.686667,0.585,0.208342,2418,3505,5923
197,198,7/17/2011,3,0,7,0,0,0,1,0.719167,0.604167,0.245033,2006,3296,5302
198,199,7/18/2011,3,0,7,0,1,1,1,0.746667,0.65125,0.215804,841,3617,4458
199,200,7/19/2011,3,0,7,0,2,1,1,0.776667,0.650417,0.1306,752,3789,4541
200,201,7/20/2011,3,0,7,0,3,1,1,0.768333,0.707083,0.113817,644,3688,4332
201,202,7/21/2011,3,0,7,0,4,1,2,0.815,0.69125,0.222021,632,3152,3784
202,203,7/22/2011,3,0,7,0,5,1,1,0.848333,0.580417,0.1331,562,2825,3387
203,204,7/23/2011,3,0,7,0,6,0,1,0.849167,0.5,0.131221,987,2298,3285
204,205,7/24/2011,3,0,7,0,0,0,1,0.83,0.550833,0.16917100000000002,1050,2556,3606
205,206,7/25/2011,3,0,7,0,1,1,1,0.743333,0.757083,0.09080830000000001,568,3272,3840
206,207,7/26/2011,3,0,7,0,2,1,1,0.771667,0.540833,0.200258,750,3840,4590
207,208,7/27/2011,3,0,7,0,3,1,1,0.775,0.402917,0.18346300000000001,755,3901,4656
208,209,7/28/2011,3,0,7,0,4,1,1,0.779167,0.583333,0.178479,606,3784,4390
209,210,7/29/2011,3,0,7,0,5,1,1,0.838333,0.5425,0.17413800000000001,670,3176,3846
210,211,7/30/2011,3,0,7,0,6,0,1,0.804167,0.465833,0.168537,1559,2916,4475
211,212,7/31/2011,3,0,7,0,0,0,1,0.805833,0.480833,0.16481300000000002,1524,2778,4302
212,213,8/1/2011,3,0,8,0,1,1,1,0.771667,0.550833,0.156717,729,3537,4266
213,214,8/2/2011,3,0,8,0,2,1,1,0.783333,0.49125,0.20585,801,4044,4845
214,215,8/3/2011,3,0,8,0,3,1,2,0.731667,0.6575,0.13558299999999998,467,3107,3574
215,216,8/4/2011,3,0,8,0,4,1,2,0.71,0.7575,0.19715,799,3777,4576
216,217,8/5/2011,3,0,8,0,5,1,1,0.710833,0.630833,0.184696,1023,3843,4866
217,218,8/6/2011,3,0,8,0,6,0,2,0.716667,0.755,0.22825,1521,2773,4294
218,219,8/7/2011,3,0,8,0,0,0,1,0.7425,0.7529170000000001,0.201487,1298,2487,3785
219,220,8/8/2011,3,0,8,0,1,1,1,0.765,0.592083,0.192175,846,3480,4326
220,221,8/9/2011,3,0,8,0,2,1,1,0.775,0.570417,0.151121,907,3695,4602
221,222,8/10/2011,3,0,8,0,3,1,1,0.766667,0.424167,0.200258,884,3896,4780
222,223,8/11/2011,3,0,8,0,4,1,1,0.7175,0.42375,0.164796,812,3980,4792
223,224,8/12/2011,3,0,8,0,5,1,1,0.708333,0.415,0.125621,1051,3854,4905
224,225,8/13/2011,3,0,8,0,6,0,2,0.685833,0.729583,0.211454,1504,2646,4150
225,226,8/14/2011,3,0,8,0,0,0,2,0.676667,0.8175,0.222633,1338,2482,3820
226,227,8/15/2011,3,0,8,0,1,1,1,0.665833,0.712083,0.208954,775,3563,4338
227,228,8/16/2011,3,0,8,0,2,1,1,0.700833,0.578333,0.23632899999999998,721,4004,4725
228,229,8/17/2011,3,0,8,0,3,1,1,0.723333,0.575417,0.14366700000000002,668,4026,4694
229,230,8/18/2011,3,0,8,0,4,1,1,0.711667,0.654583,0.233208,639,3166,3805
230,231,8/19/2011,3,0,8,0,5,1,2,0.685,0.722917,0.139308,797,3356,4153
231,232,8/20/2011,3,0,8,0,6,0,1,0.6975,0.674167,0.104467,1914,3277,5191
232,233,8/21/2011,3,0,8,0,0,0,1,0.710833,0.77,0.248754,1249,2624,3873
233,234,8/22/2011,3,0,8,0,1,1,1,0.691667,0.47,0.27675,833,3925,4758
234,235,8/23/2011,3,0,8,0,2,1,1,0.640833,0.455417,0.146763,1281,4614,5895
235,236,8/24/2011,3,0,8,0,3,1,1,0.673333,0.605,0.253108,949,4181,5130
236,237,8/25/2011,3,0,8,0,4,1,2,0.684167,0.771667,0.210833,435,3107,3542
237,238,8/26/2011,3,0,8,0,5,1,1,0.7,0.76125,0.0839625,768,3893,4661
238,239,8/27/2011,3,0,8,0,6,0,2,0.68,0.85,0.37561700000000003,226,889,1115
239,240,8/28/2011,3,0,8,0,0,0,1,0.707059,0.561765,0.304659,1415,2919,4334
240,241,8/29/2011,3,0,8,0,1,1,1,0.636667,0.554583,0.159825,729,3905,4634
241,242,8/30/2011,3,0,8,0,2,1,1,0.639167,0.548333,0.12500799999999998,775,4429,5204
242,243,8/31/2011,3,0,8,0,3,1,1,0.656667,0.597917,0.08333330000000001,688,4370,5058
243,244,9/1/2011,3,0,9,0,4,1,1,0.655,0.639167,0.141796,783,4332,5115
244,245,9/2/2011,3,0,9,0,5,1,2,0.643333,0.727083,0.139929,875,3852,4727
245,246,9/3/2011,3,0,9,0,6,0,1,0.669167,0.716667,0.185325,1935,2549,4484
246,247,9/4/2011,3,0,9,0,0,0,1,0.709167,0.742083,0.206467,2521,2419,4940
247,248,9/5/2011,3,0,9,1,1,0,2,0.673333,0.790417,0.212696,1236,2115,3351
248,249,9/6/2011,3,0,9,0,2,1,3,0.54,0.886957,0.343943,204,2506,2710
249,250,9/7/2011,3,0,9,0,3,1,3,0.599167,0.917083,0.0970208,118,1878,1996
250,251,9/8/2011,3,0,9,0,4,1,3,0.6339130000000001,0.939565,0.192748,153,1689,1842
251,252,9/9/2011,3,0,9,0,5,1,2,0.65,0.897917,0.12437899999999999,417,3127,3544
252,253,9/10/2011,3,0,9,0,6,0,1,0.66,0.75375,0.153608,1750,3595,5345
253,254,9/11/2011,3,0,9,0,0,0,1,0.6533329999999999,0.71375,0.11505399999999999,1633,3413,5046
254,255,9/12/2011,3,0,9,0,1,1,1,0.6443479999999999,0.692174,0.088913,690,4023,4713
255,256,9/13/2011,3,0,9,0,2,1,1,0.650833,0.7125,0.14180399999999999,701,4062,4763
256,257,9/14/2011,3,0,9,0,3,1,1,0.673333,0.697083,0.1673,647,4138,4785
257,258,9/15/2011,3,0,9,0,4,1,2,0.5775,0.709167,0.271146,428,3231,3659
258,259,9/16/2011,3,0,9,0,5,1,2,0.469167,0.590417,0.164183,742,4018,4760
259,260,9/17/2011,3,0,9,0,6,0,2,0.491667,0.718333,0.189675,1434,3077,4511
260,261,9/18/2011,3,0,9,0,0,0,1,0.5075,0.695,0.178483,1353,2921,4274
261,262,9/19/2011,3,0,9,0,1,1,2,0.549167,0.69,0.15174200000000002,691,3848,4539
262,263,9/20/2011,3,0,9,0,2,1,2,0.561667,0.88125,0.134954,438,3203,3641
263,264,9/21/2011,3,0,9,0,3,1,2,0.595,0.9,0.0964042,539,3813,4352
264,265,9/22/2011,3,0,9,0,4,1,2,0.628333,0.902083,0.128125,555,4240,4795
265,266,9/23/2011,4,0,9,0,5,1,2,0.609167,0.9725,0.0783667,258,2137,2395
266,267,9/24/2011,4,0,9,0,6,0,2,0.606667,0.8625,0.0783833,1776,3647,5423
267,268,9/25/2011,4,0,9,0,0,0,2,0.634167,0.845,0.0503792,1544,3466,5010
268,269,9/26/2011,4,0,9,0,1,1,2,0.649167,0.848333,0.1107,684,3946,4630
269,270,9/27/2011,4,0,9,0,2,1,2,0.636667,0.885417,0.118171,477,3643,4120
270,271,9/28/2011,4,0,9,0,3,1,2,0.635,0.84875,0.14862899999999998,480,3427,3907
271,272,9/29/2011,4,0,9,0,4,1,1,0.616667,0.699167,0.17288299999999998,653,4186,4839
272,273,9/30/2011,4,0,9,0,5,1,1,0.564167,0.6475,0.206475,830,4372,5202
273,274,10/1/2011,4,0,10,0,6,0,2,0.41,0.75375,0.292296,480,1949,2429
274,275,10/2/2011,4,0,10,0,0,0,2,0.356667,0.791667,0.22201300000000002,616,2302,2918
275,276,10/3/2011,4,0,10,0,1,1,2,0.384167,0.760833,0.08334580000000001,330,3240,3570
276,277,10/4/2011,4,0,10,0,2,1,1,0.484167,0.71,0.205854,486,3970,4456
277,278,10/5/2011,4,0,10,0,3,1,1,0.538333,0.647917,0.17725,559,4267,4826
278,279,10/6/2011,4,0,10,0,4,1,1,0.494167,0.620833,0.134954,639,4126,4765
279,280,10/7/2011,4,0,10,0,5,1,1,0.510833,0.684167,0.0223917,949,4036,4985
280,281,10/8/2011,4,0,10,0,6,0,1,0.521667,0.70125,0.0454042,2235,3174,5409
281,282,10/9/2011,4,0,10,0,0,0,1,0.540833,0.7275,0.06345,2397,3114,5511
282,283,10/10/2011,4,0,10,1,1,0,1,0.570833,0.73375,0.0423042,1514,3603,5117
283,284,10/11/2011,4,0,10,0,2,1,2,0.566667,0.80875,0.143042,667,3896,4563
284,285,10/12/2011,4,0,10,0,3,1,3,0.543333,0.90625,0.24815,217,2199,2416
285,286,10/13/2011,4,0,10,0,4,1,2,0.589167,0.896667,0.141787,290,2623,2913
286,287,10/14/2011,4,0,10,0,5,1,2,0.550833,0.71625,0.223883,529,3115,3644
287,288,10/15/2011,4,0,10,0,6,0,1,0.506667,0.483333,0.258083,1899,3318,5217
288,289,10/16/2011,4,0,10,0,0,0,1,0.511667,0.486667,0.281717,1748,3293,5041
289,290,10/17/2011,4,0,10,0,1,1,1,0.5341670000000001,0.579583,0.175379,713,3857,4570
290,291,10/18/2011,4,0,10,0,2,1,2,0.5325,0.701667,0.11008699999999999,637,4111,4748
291,292,10/19/2011,4,0,10,0,3,1,3,0.5417390000000001,0.895217,0.243339,254,2170,2424
